%time,field.x,field.y,field.z
1456328989083951950,-1.10814450309e-06,-2.35753118992e-05,2.56013065577e-05
1456328989104048967,-1.25102391466e-06,-2.36736610532e-05,2.54417330027e-05
1456328989124018907,-1.5959052369e-06,-2.35597848892e-05,2.55656331778e-05
1456328989144185066,-1.59512553364e-06,-2.36494272947e-05,2.54549503326e-05
1456328989164467096,-1.89883969724e-06,-2.36820146441e-05,2.54132866859e-05
1456328989184474945,-2.08248775452e-06,-2.35947310925e-05,2.53627002239e-05
1456328989205806016,-2.32185684144e-06,-2.35480353236e-05,2.52723097801e-05
1456328989225858926,-2.45791077614e-06,-2.35559150577e-05,2.5279468298e-05
1456328989246083021,-2.7859101072e-06,-2.36279085279e-05,2.52782195807e-05
1456328989266096115,-3.06455418468e-06,-2.36627370119e-05,2.50847458839e-05
1456328989286514043,-3.40751968324e-06,-2.35528737307e-05,2.49366879463e-05
1456328989306551933,-3.60717326403e-06,-2.35215857625e-05,2.48868152499e-05
1456328989327796936,-3.89426834881e-06,-2.35634684563e-05,2.47573941946e-05
1456328989347779989,-4.24688458443e-06,-2.36101657152e-05,2.48436108232e-05
1456328989367935895,-4.38952930272e-06,-2.36209958792e-05,2.46507391334e-05
1456328989388098001,-4.51768562198e-06,-2.35246539116e-05,2.46724188328e-05
1456328989409332036,-4.76478636265e-06,-2.36145332456e-05,2.45439857244e-05
1456328989429693937,-4.9087818712e-06,-2.35985338688e-05,2.45427340269e-05
1456328989451440095,-5.11541962624e-06,-2.35613718629e-05,2.4348706007e-05
1456328989471617937,-5.21823056042e-06,-2.35318526626e-05,2.41795241833e-05
1456328989491816043,-5.48296160996e-06,-2.3578312993e-05,2.42823585868e-05
1456328989511965990,-5.68216107786e-06,-2.3515971005e-05,2.41680189967e-05
1456328989532073974,-5.90548403561e-06,-2.35653832555e-05,2.4071161449e-05
1456328989552376985,-6.15313872695e-06,-2.35580921173e-05,2.40213036537e-05
1456328989573512077,-6.37708604336e-06,-2.36462011933e-05,2.40130245686e-05
1456328989593566894,-6.67200759053e-06,-2.36484438181e-05,2.3858961463e-05
1456328989613867044,-6.92709609866e-06,-2.36023366451e-05,2.37284645438e-05
1456328989635690927,-7.22196251154e-06,-2.36206948757e-05,2.35666394234e-05
1456328989655677080,-7.6610557735e-06,-2.36785769463e-05,2.34363824129e-05
1456328989676006078,-8.05991292e-06,-2.36249431968e-05,2.32727602124e-05
1456328989696003913,-8.22773054242e-06,-2.35293075442e-05,2.32461616397e-05
1456328989716939926,-8.47438126802e-06,-2.36281305552e-05,2.30538591743e-05
1456328989737230062,-8.63342359662e-06,-2.36701324582e-05,2.29173406959e-05
1456328989757329940,-8.78423452377e-06,-2.36566126347e-05,2.2748054564e-05
1456328989777610063,-9.00830253959e-06,-2.38164767623e-05,2.27568343282e-05
1456328989797785043,-9.10451114178e-06,-2.36800193787e-05,2.27861478925e-05
1456328989818022012,-9.11228433251e-06,-2.36724928021e-05,2.27539777756e-05
1456328989838041067,-9.27121788263e-06,-2.37547263503e-05,2.26020529866e-05
1456328989860119104,-9.46247130632e-06,-2.36682698131e-05,2.24954143167e-05
1456328989880156993,-9.70150902867e-06,-2.36782759428e-05,2.23578602076e-05
1456328989900259971,-9.84455123544e-06,-2.37282767892e-05,2.22215741873e-05
1456328989920424938,-9.94055196643e-06,-2.37522736192e-05,2.22212508321e-05
1456328989940669059,-1.01390659809e-05,-2.36033588648e-05,2.20096260309e-05
1456328989960757970,-1.0323010385e-05,-2.3651471734e-05,2.20010384917e-05
1456328989981947898,-1.04977786541e-05,-2.37740546465e-05,2.18255937099e-05
